K,raw,log
1,76797.65866673578,18240.855270240674
2,68924.47134766837,13621.748014322464
3,60938.195837219,10566.822213539344
4,38038.06742786672,10318.098839811983
5,37410.16226387112,10290.075056908881
6,37237.21667751855,9872.769435987957
7,36674.169015673906,9938.031096622528
8,34277.08733756971,331.55095652499745
9,34154.5088333913,-713.6281074452356
10,34157.305424752936,-845.3127946092391
11,33445.08207641911,-1096.0653004812375
12,32416.9313401181,-3275.917941180145
13,29625.678531214453,-4309.258797443865
14,27772.149057812185,-5597.823460043934
15,29111.264817125844,-6008.116648630802
16,26073.42529082506,-6306.997352543575
17,26029.027835856752,-6905.274471314953
18,27462.633805484293,-6928.6343968973815
19,25270.249265917493,-7091.713727879579
20,25225.730215470627,-7532.361838473863
21,25171.939556152432,-8882.360290720515
22,25149.700272076985,-8950.225588725043
23,25144.826690167603,-13307.7483279836
24,24793.388928549128,-13397.242228963074
25,24786.49111519068,-13548.436483425454
26,24331.405917005275,-14933.229302988006
27,23309.84757870386,-15109.544588217077
28,22869.949398735727,-15226.082035914247
29,16680.22932629969,-15295.230373636798
30,15830.356911482715,-15708.95905140507
31,19435.449782119915,-16552.22165706557
32,16105.270436822482,-19277.015682304456
33,16119.199878541482,-17025.776777611845
34,16118.8206903051,-19369.07367869615
35,16067.611702165066,-21062.366171196813
36,19275.951884728245,-21080.670122069438
37,15955.115906644283,-21170.456335485134
38,15179.707999904003,-21856.952384213513
39,14456.032525878614,-21859.43961934046
40,12802.413308352705,-22402.455270975872
41,12021.532015387058,-22408.79297747525
42,12013.318528417372,-22645.46881418187
43,3312.052788351406,-22481.11039309677
44,3309.5558173055747,-22829.035452298544
45,3716.7657076925198,-23276.09238703256
46,3085.5274445854757,-23283.316483199284
47,3082.2669759376804,-23616.9262531109
48,4027.940521366,-23668.913635675315
49,4025.6769239436135,-23685.983625438315
50,4018.112328842494,-23932.964646397002
