payload_length,time_diff
0,1.9114655
0,0.14005041
60,0.03564172
224,0.026685463
415,0.037872337
405,0.0417698
111,0.039697696
0,0.035537038
0,0.0314474
3,0.028143449
5,0.025671786
6,0.02387212
7,0.022566399
8,0.021612985
8,0.020910172
8,0.020387558
7,0.019995948
7,0.019700864
7,0.019477537
6,0.01930797
6,0.019178899
5,0.019080421
5,0.019005178
4,0.018947626
4,0.0189036
4,0.018869812
3,0.018843943
3,0.01882411
3,0.01880891
2,0.018797243
2,0.018788287
2,0.01878137
2,0.018776087
2,0.018772049
1,0.018768882
1,0.018766494
1,0.018764703
1,0.01876326
1,0.018762173
1,0.018761316
1,0.018760668
1,0.018760188
0,1.8926151
0,0.13903372
22,0.03667502
135,0.032902062
228,0.047610905
160,0.052860975
20,0.050986633
0,0.046621364
0,0.04226838
0,0.038743537
2,0.036102343
3,0.03417174
4,0.03276178
4,0.031723324
4,0.030950611
5,0.030370327
5,0.029931614
5,0.029598111
4,0.029343644
4,0.029148808
4,0.028999371
4,0.028884524
4,0.028796041
4,0.028727913
4,0.028675305
4,0.028634718
4,0.028603332
4,0.028579088
4,0.028560331
3,0.028545795
3,0.028534552
3,0.028525868
3,0.028519122
3,0.028513866
3,0.028509865
3,0.028506713
3,0.028504299
3,0.028502388
3,0.028500935
3,0.028499795
3,0.028498912
3,0.028498238
0,1.7876706
0,0.15895124
61,0.054915875
215,0.04341718
401,0.053531203
407,0.05795986
132,0.056845717
0,0.05353683
0,0.050088897
0,0.04725476
0,0.045134775
1,0.043606915
2,0.04251636
2,0.041735396
2,0.04117186
2,0.040761687
2,0.040460967
2,0.04023923
1,0.040074904
0,0.039952774
0,0.039861694
0,0.03979362
0,0.039742716
0,0.039704517
0,0.039675836
0,0.039654292
0,0.039638143
0,0.03962595
0,0.039616786
0,0.039609905
0,0.03960472
0,0.039600793
0,0.039597873
0,0.03959564
0,0.03959396
0,0.039592694
0,0.03959175
0,0.03959104
0,0.039590508
0,0.039590113
0,0.039589815
0,0.039589588
0,1.506167
0,0.19008332
44,0.074444845
254,0.052395966
566,0.054750603
742,0.05648356
464,0.05524572
41,0.052640874
0,0.0499769
0,0.04779673
1,0.046185408
3,0.045050718
4,0.044266798
4,0.043726683
4,0.04335259
4,0.043091338
4,0.042907365
4,0.04277686
4,0.04268375
3,0.04261712
3,0.042569194
3,0.042534705
2,0.042509764
2,0.042491782
2,0.042478744
1,0.04246931
1,0.042462446
1,0.042457514
0,0.04245391
0,0.042451296
0,0.04244939
0,0.042447995
0,0.042447016
0,0.042446293
0,0.042445768
0,0.04244538
0,0.042445105
0,0.04244491
0,0.042444754
0,0.042444624
0,0.04244455
0,0.04244451
0,1.603825
0,0.18315092
10,0.06789696
179,0.047316577
399,0.050921384
450,0.05263081
140,0.05080393
0,0.04753781
0,0.044325802
0,0.041736174
0,0.03982814
1,0.03847821
1,0.03753627
1,0.036878817
1,0.036416765
1,0.03608912
1,0.03585491
0,0.035686318
0,0.035564244
0,0.035475526
0,0.035410747
0,0.035363384
0,0.035328686
0,0.03530322
0,0.035284504
0,0.035270747
0,0.03526061
0,0.03525312
0,0.03524759
0,0.035243515
0,0.03524053
0,0.035238322
0,0.035236686
0,0.035235494
0,0.035234585
0,0.03523391
0,0.035233416
0,0.035233054
0,0.03523283
0,0.035232637
0,0.035232455
0,0.035232376
0,1.8592404
0,0.13814212
49,0.050535113
272,0.04475643
612,0.0561705
805,0.059652124
571,0.05718731
99,0.05275527
0,0.04849482
0,0.045084324
0,0.042543303
1,0.04069581
2,0.039355736
2,0.038377084
2,0.03765586
3,0.037119832
3,0.03671862
3,0.03641666
3,0.036188386
3,0.036015302
3,0.035883583
3,0.035783317
3,0.035706658
3,0.035648055
3,0.03560321
3,0.035568852
3,0.035542488
2,0.035522226
2,0.035506703
2,0.035494775
2,0.0354856
2,0.03547854
2,0.035473153
2,0.03546901
2,0.035465766
2,0.03546329
2,0.035461392
2,0.03545994
2,0.03545881
2,0.03545794
2,0.035457265
2,0.035456784
0,1.8991766
0,0.1385552
11,0.040726118
232,0.03382339
586,0.04518151
853,0.04853732
690,0.045869928
181,0.041252203
0,0.036846485
0,0.033325344
0,0.030699624
3,0.02878671
5,0.02739579
5,0.026377479
5,0.02562529
5,0.025064932
5,0.024644556
5,0.024327448
5,0.02408727
5,0.023904635
5,0.02376548
5,0.023659201
5,0.023577856
5,0.023515528
5,0.023467725
5,0.023431057
5,0.023402864
5,0.023381175
5,0.023364482
5,0.023351645
5,0.023341743
5,0.023334177
5,0.023328284
4,0.02332378
4,0.023320286
4,0.0233176
4,0.023315499
4,0.023313968
4,0.023312746
4,0.023311773
4,0.023311084
4,0.0233105
0,1.797281
0,0.14757691
10,0.047208443
201,0.040312886
491,0.052667603
655,0.057392452
362,0.05578581
18,0.051845655
0,0.047856715
0,0.04460571
3,0.042169068
4,0.040396243
4,0.039111834
4,0.0381754
5,0.03748617
5,0.03697443
5,0.03659181
5,0.0363041
5,0.03608696
5,0.03592247
5,0.03579766
5,0.035702594
5,0.03563022
5,0.035574976
5,0.03553277
5,0.03550051
5,0.03547585
5,0.03545694
5,0.035442453
5,0.03543137
5,0.03542288
5,0.035416327
5,0.03541137
5,0.035407525
5,0.03540458
5,0.03540236
5,0.035400596
5,0.035399247
5,0.035398234
5,0.03539743
5,0.035396844
5,0.035396338
0,1.9524281
0,0.12837787
23,0.034748767
202,0.03455673
485,0.051548135
681,0.05775683
458,0.056212652
56,0.051959313
0,0.047661435
0,0.04417699
0,0.041566942
1,0.03965847
2,0.038262766
3,0.037232954
3,0.036465414
3,0.035888255
3,0.0354515
3,0.035119284
3,0.034865674
3,0.034671564
3,0.03452266
2,0.034408167
2,0.034320086
2,0.0342522
1,0.034199852
1,0.03415941
1,0.034128245
0,0.0341041
0,0.034085464
0,0.034071032
0,0.034059882
0,0.034051225
0,0.03404458
0,0.034039374
0,0.034035414
0,0.034032274
0,0.034029897
0,0.034028027
0,0.0340266
0,0.034025446
0,0.03402459
0,0.03402394
0,1.9066359
0,0.14017022
25,0.04032386
234,0.03449743
572,0.047392584
841,0.052207123
705,0.050641164
203,0.046802886
0,0.042950023
0,0.03983178
0,0.037507374
2,0.035823837
3,0.034609325
4,0.033727653
4,0.033081755
4,0.03260454
4,0.032249417
5,0.03198381
4,0.031784315
4,0.03163401
4,0.031520516
4,0.03143464
4,0.03136956
3,0.03132021
3,0.0312827
